date,entity,Id,hours,precio_bolsa,datetime
2019-01-09,Sistema,Sistema,10,360.91797,2019-01-09 10:00:00
2019-01-09,Sistema,Sistema,11,364.18697,2019-01-09 11:00:00
2019-01-09,Sistema,Sistema,12,364.18697,2019-01-09 12:00:00
2019-01-09,Sistema,Sistema,13,364.18697,2019-01-09 13:00:00
2019-01-09,Sistema,Sistema,14,364.18697,2019-01-09 14:00:00
2019-01-09,Sistema,Sistema,15,364.18697,2019-01-09 15:00:00
2019-01-09,Sistema,Sistema,16,360.91797,2019-01-09 16:00:00
2019-01-09,Sistema,Sistema,17,360.91797,2019-01-09 17:00:00
2019-01-09,Sistema,Sistema,18,380.08697,2019-01-09 18:00:00
2019-01-09,Sistema,Sistema,19,380.08697,2019-01-09 19:00:00
2019-01-09,Sistema,Sistema,20,380.08697,2019-01-09 20:00:00
2019-01-09,Sistema,Sistema,21,360.91797,2019-01-09 21:00:00
2019-01-09,Sistema,Sistema,22,360.91797,2019-01-09 22:00:00
2019-01-09,Sistema,Sistema,23,280.18697,2019-01-09 23:00:00
2019-01-10,Sistema,Sistema,0,320.54323,2019-01-10 00:00:00
2019-01-10,Sistema,Sistema,1,320.54323,2019-01-10 01:00:00
2019-01-10,Sistema,Sistema,2,320.54323,2019-01-10 02:00:00
2019-01-10,Sistema,Sistema,3,320.54323,2019-01-10 03:00:00
2019-01-10,Sistema,Sistema,4,257.74223,2019-01-10 04:00:00
2019-01-10,Sistema,Sistema,5,320.54323,2019-01-10 05:00:00
2019-01-10,Sistema,Sistema,6,320.54323,2019-01-10 06:00:00
2019-01-10,Sistema,Sistema,7,320.54323,2019-01-10 07:00:00
2019-01-10,Sistema,Sistema,8,367.42923,2019-01-10 08:00:00
2019-01-10,Sistema,Sistema,9,377.42923,2019-01-10 09:00:00
2019-01-10,Sistema,Sistema,10,320.54323,2019-01-10 10:00:00
2019-01-10,Sistema,Sistema,11,320.54323,2019-01-10 11:00:00
2019-01-10,Sistema,Sistema,12,320.54323,2019-01-10 12:00:00
2019-01-10,Sistema,Sistema,13,320.54323,2019-01-10 13:00:00
2019-01-10,Sistema,Sistema,14,320.54323,2019-01-10 14:00:00
2019-01-10,Sistema,Sistema,15,320.54323,2019-01-10 15:00:00
2019-01-10,Sistema,Sistema,16,320.54323,2019-01-10 16:00:00
2019-01-10,Sistema,Sistema,17,320.54323,2019-01-10 17:00:00
2019-01-10,Sistema,Sistema,18,367.42923,2019-01-10 18:00:00
2019-01-10,Sistema,Sistema,19,367.42923,2019-01-10 19:00:00
2019-01-10,Sistema,Sistema,20,378.42923,2019-01-10 20:00:00
2019-01-10,Sistema,Sistema,21,320.54323,2019-01-10 21:00:00
2019-01-10,Sistema,Sistema,22,367.42923,2019-01-10 22:00:00
2019-01-10,Sistema,Sistema,23,320.54323,2019-01-10 23:00:00
2019-01-11,Sistema,Sistema,0,309.72896,2019-01-11 00:00:00
2019-01-11,Sistema,Sistema,1,309.72896,2019-01-11 01:00:00
2019-01-11,Sistema,Sistema,2,309.72896,2019-01-11 02:00:00
2019-01-11,Sistema,Sistema,3,309.72896,2019-01-11 03:00:00
2019-01-11,Sistema,Sistema,4,309.72896,2019-01-11 04:00:00
2019-01-11,Sistema,Sistema,5,350.12896,2019-01-11 05:00:00
2019-01-11,Sistema,Sistema,6,350.12896,2019-01-11 06:00:00
2019-01-11,Sistema,Sistema,7,350.34296,2019-01-11 07:00:00
2019-01-11,Sistema,Sistema,8,350.34296,2019-01-11 08:00:00
2019-01-11,Sistema,Sistema,9,350.34296,2019-01-11 09:00:00
2019-01-11,Sistema,Sistema,10,350.34296,2019-01-11 10:00:00
2019-01-11,Sistema,Sistema,11,350.34296,2019-01-11 11:00:00
2019-01-11,Sistema,Sistema,12,350.34296,2019-01-11 12:00:00
2019-01-11,Sistema,Sistema,13,350.34296,2019-01-11 13:00:00
2019-01-11,Sistema,Sistema,14,350.34296,2019-01-11 14:00:00
2019-01-11,Sistema,Sistema,15,366.22896,2019-01-11 15:00:00
2019-01-11,Sistema,Sistema,16,350.34296,2019-01-11 16:00:00
2019-01-11,Sistema,Sistema,17,350.34296,2019-01-11 17:00:00
2019-01-11,Sistema,Sistema,18,367.22896,2019-01-11 18:00:00
2019-01-11,Sistema,Sistema,19,367.22896,2019-01-11 19:00:00
2019-01-11,Sistema,Sistema,20,366.22896,2019-01-11 20:00:00
2019-01-11,Sistema,Sistema,21,350.34296,2019-01-11 21:00:00
2019-01-11,Sistema,Sistema,22,350.12896,2019-01-11 22:00:00
2019-01-11,Sistema,Sistema,23,309.72896,2019-01-11 23:00:00
2019-01-12,Sistema,Sistema,0,250.36797,2019-01-12 00:00:00
2019-01-12,Sistema,Sistema,1,250.36797,2019-01-12 01:00:00
2019-01-12,Sistema,Sistema,2,250.36797,2019-01-12 02:00:00
2019-01-12,Sistema,Sistema,3,250.36797,2019-01-12 03:00:00
2019-01-12,Sistema,Sistema,4,250.36797,2019-01-12 04:00:00
2019-01-12,Sistema,Sistema,5,255.36797,2019-01-12 05:00:00
2019-01-12,Sistema,Sistema,6,255.36797,2019-01-12 06:00:00
2019-01-12,Sistema,Sistema,7,310.36797,2019-01-12 07:00:00
2019-01-12,Sistema,Sistema,8,311.86797,2019-01-12 08:00:00
2019-01-12,Sistema,Sistema,9,311.86797,2019-01-12 09:00:00
2019-01-12,Sistema,Sistema,10,311.86797,2019-01-12 10:00:00
2019-01-12,Sistema,Sistema,11,311.86797,2019-01-12 11:00:00
2019-01-12,Sistema,Sistema,12,311.86797,2019-01-12 12:00:00
2019-01-12,Sistema,Sistema,13,311.86797,2019-01-12 13:00:00
2019-01-12,Sistema,Sistema,14,311.86797,2019-01-12 14:00:00
2019-01-12,Sistema,Sistema,15,311.86797,2019-01-12 15:00:00
2019-01-12,Sistema,Sistema,16,311.86797,2019-01-12 16:00:00
2019-01-12,Sistema,Sistema,17,311.86797,2019-01-12 17:00:00
2019-01-12,Sistema,Sistema,18,311.86797,2019-01-12 18:00:00
2019-01-12,Sistema,Sistema,19,320.66797,2019-01-12 19:00:00
2019-01-12,Sistema,Sistema,20,311.86797,2019-01-12 20:00:00
2019-01-12,Sistema,Sistema,21,311.86797,2019-01-12 21:00:00
2019-01-12,Sistema,Sistema,22,310.36797,2019-01-12 22:00:00
2019-01-12,Sistema,Sistema,23,256.74697,2019-01-12 23:00:00
2019-01-13,Sistema,Sistema,0,245.07454,2019-01-13 00:00:00
2019-01-13,Sistema,Sistema,1,200.30554,2019-01-13 01:00:00
2019-01-13,Sistema,Sistema,2,200.30554,2019-01-13 02:00:00
2019-01-13,Sistema,Sistema,3,200.30554,2019-01-13 03:00:00
2019-01-13,Sistema,Sistema,4,200.30554,2019-01-13 04:00:00
2019-01-13,Sistema,Sistema,5,200.30554,2019-01-13 05:00:00
2019-01-13,Sistema,Sistema,6,227.07454,2019-01-13 06:00:00
2019-01-13,Sistema,Sistema,7,200.30554,2019-01-13 07:00:00
2019-01-13,Sistema,Sistema,8,200.30554,2019-01-13 08:00:00
2019-01-13,Sistema,Sistema,9,245.07454,2019-01-13 09:00:00
2019-01-13,Sistema,Sistema,10,245.07454,2019-01-13 10:00:00
2019-01-13,Sistema,Sistema,11,301.06454,2019-01-13 11:00:00
2019-01-13,Sistema,Sistema,12,312.17454,2019-01-13 12:00:00
2019-01-13,Sistema,Sistema,13,312.17454,2019-01-13 13:00:00
2019-01-13,Sistema,Sistema,14,301.06454,2019-01-13 14:00:00
2019-01-13,Sistema,Sistema,15,249.51454,2019-01-13 15:00:00
2019-01-13,Sistema,Sistema,16,245.07454,2019-01-13 16:00:00
2019-01-13,Sistema,Sistema,17,245.07454,2019-01-13 17:00:00
2019-01-13,Sistema,Sistema,18,312.17454,2019-01-13 18:00:00
2019-01-13,Sistema,Sistema,19,320.97454,2019-01-13 19:00:00
2019-01-13,Sistema,Sistema,20,312.17454,2019-01-13 20:00:00
2019-01-13,Sistema,Sistema,21,312.17454,2019-01-13 21:00:00
2019-01-13,Sistema,Sistema,22,312.17454,2019-01-13 22:00:00
2019-01-13,Sistema,Sistema,23,245.07454,2019-01-13 23:00:00
2019-01-14,Sistema,Sistema,0,230.71968,2019-01-14 00:00:00
2019-01-14,Sistema,Sistema,1,185.71968,2019-01-14 01:00:00
2019-01-14,Sistema,Sistema,2,185.71968,2019-01-14 02:00:00
2019-01-14,Sistema,Sistema,3,185.71968,2019-01-14 03:00:00
2019-01-14,Sistema,Sistema,4,185.71968,2019-01-14 04:00:00
2019-01-14,Sistema,Sistema,5,230.71968,2019-01-14 05:00:00
2019-01-14,Sistema,Sistema,6,261.16668,2019-01-14 06:00:00
2019-01-14,Sistema,Sistema,7,261.16668,2019-01-14 07:00:00
2019-01-14,Sistema,Sistema,8,267.71968,2019-01-14 08:00:00
2019-01-14,Sistema,Sistema,9,295.70968,2019-01-14 09:00:00
2019-01-14,Sistema,Sistema,10,300.71968,2019-01-14 10:00:00
2019-01-14,Sistema,Sistema,11,300.81968,2019-01-14 11:00:00
2019-01-14,Sistema,Sistema,12,300.81968,2019-01-14 12:00:00
